X1,X2,X3
0.26,0.08,0.28
0.26,0.52,0.01
0.85,0.6,0.14
0.94,0.22,0.48
0.53,0.05,0.76
0.07,0.59,0.63
0.99,0.94,0.96
0.22,0.39,0.52
0.61,0.52,0.36
0.29,0.31,0.01
0.23,0.69,0.67
0.07,0.46,0.27
0.59,0.76,0.58
0.25,0.39,0.79
0.94,0.37,0.1
0.61,0.78,0.04
0.6,0.39,0.67
0.41,0.33,0.96
0.46,0.72,0.69
0.16,0.88,0.35
0.35,0.26,0.95
0.93,0.2,0.08
0.15,0.75,0.5
0.52,0.46,0.08
0.37,0.95,0.77
0.74,0.86,0.57
0.03,0.05,0.83
0.15,0.72,0.76
0.64,0.06,0.78
0.79,0.99,0.3
0.57,0.97,0.4
0.74,0.93,0.47
0.92,0.12,0.26
0.11,0.66,0.13
0.9,0.4,0.63
0.48,0.37,0.98
0.89,0.31,0.03
0.97,0.88,0.01
0.7,0.26,0.26
0.25,0.34,0.59
0.82,0.69,0.27
0.41,0.72,0.88
0.1,0.41,0.67
0.19,0.78,0.29
0.6,0.06,0.92
0.02,0.07,0.57
0.62,0.44,0.2
0.06,0.92,0.64
0.38,0.85,0.57
0.47,0.75,0.72
0.06,0.41,0.46
0.07,0.3,0.53
0.38,0.61,0.31
0.3,0.51,0.57
0.64,0.73,0.58
0.67,0.81,0.41
0.01,0.85,0.18
0.89,0.1,0.63
0.62,0.59,0.94
0.32,0.75,0.09
0.5,0.51,0.03
0.15,0.11,0.83
0.61,0.85,0.14
0.85,0.55,0.59
0.58,0.4,0.96
0.29,0.96,0.49
0.87,0.22,0.65
0.59,0.37,0.03
0.23,0.42,0.98
0.12,0.85,0.27
0.95,0.53,0.87
0.27,0.81,0.61
0.56,0.31,0.61
0.82,0.14,0.41
0.2,0.99,0.49
0.4,0.38,0.47
0.92,0.72,0.46
0.73,0.08,0.67
0.11,0.32,0.3
0.12,0.28,0.61
0.17,0.37,0.13
0.73,0.41,0.07
0.16,0.42,0.73
0.19,0.15,0.32
0.04,0.79,0.21
0.98,0.08,0.89
0.92,0.68,0.14
0.7,0.07,0.57
0.79,0.78,0.74
0.94,0.49,0.4
0.18,0.47,0.36
0.55,0.3,0.27
0.54,0.06,0.21
0.39,0.07,0.98
1,0.99,0.37
0.89,0.91,0.4
0.82,0.66,0.44
0.8,1,0.86
0.2,0.36,0.89
0.32,0.2,0.54
0.81,0.7,0.67
0.58,0.58,0.06
0.51,0.49,0.94
0.27,0.9,0.42
0.7,0.36,0.11
0.01,0.12,0.07
0.38,0.15,0.75
0.1,0.5,0.47
0.67,0.47,0.16
0.39,0.2,0.96
0.61,0.14,0.43
0.2,0.72,0.52
0.5,0.84,0.75
0.47,0.83,0.35
0.78,0.76,0.36
0.95,0.93,0.52
0.17,0.28,0.02
0.75,0.76,0.38
0.71,0.73,0.64
0.97,0.43,0.09
0.1,0.47,0.71
0.25,0.13,0.04
0.03,0.32,0.16
0.95,0.21,0.43
0.71,0.92,0.32
0.61,0.82,0.78
0.71,0.42,0.12
0.93,0.62,0.24
0.35,0.45,0.48
0.62,0.66,0.85
0.86,0.15,0.67
0.88,0.61,0.44
0.74,0.71,0.48
0.98,0.2,0.51
0.13,0.87,0.14
0.98,0.28,0.72
0.5,0.14,0.57
0.67,0.67,0.08
0.94,0.81,0.35
0.94,0.64,0.92
1,0.84,0.71
0.21,0.62,0.62
0.48,0.72,0.21
0.85,0.65,0.49
0.59,0.2,0.41
0.66,0.3,0.56
0.8,0.82,0.69
0.8,0.4,0.98
0.97,0.1,0.13
0.84,0.62,0.64
0.33,0.66,0.8
0.47,0.06,0.72
0.33,0.6,0.41
0.18,0.47,0.75
0.86,0.25,0.49
0.59,0.44,0.74
0.73,0.85,0.1
0.57,0.61,0.12
0.96,0.3,0.55
0.98,0.45,0.23
0.17,0.8,0.93
0.71,0.78,0.28
0.77,0.72,0.79
0.32,0.1,0.12
0.6,0.01,0.06
0.22,0.61,0.28
0.45,0.33,0.62
0.59,0.01,0.87
